2020-09-11,15:59:01
LOCATION	CASES	DEATHS	RECOVERED
Jones-Georgia	496	4	NA
Lamar-Georgia	337	17	NA
Lanier-Georgia	279	5	NA
Laurens-Georgia	1463	54	NA
Lee-Georgia	662	25	NA
Liberty-Georgia	981	19	NA
Lincoln-Georgia	201	7	NA
Long-Georgia	198	3	NA
Lowndes-Georgia	3652	72	NA
Lumpkin-Georgia	795	12	NA
McDuffie-Georgia	541	13	NA
McIntosh-Georgia	269	7	NA
Macon-Georgia	217	10	NA
Madison-Georgia	597	8	NA
Marion-Georgia	178	6	NA
Meriwether-Georgia	510	11	NA
Miller-Georgia	230	1	NA
Mitchell-Georgia	742	45	NA
Monroe-Georgia	618	44	NA
Montgomery-Georgia	250	4	NA
Morgan-Georgia	442	2	NA
Murray-Georgia	737	5	NA
Muscogee-Georgia	5678	154	NA
Newton-Georgia	2417	72	NA
Oconee-Georgia	640	21	NA
Oglethorpe-Georgia	295	11	NA
Paulding-Georgia	2530	43	NA
Peach-Georgia	603	19	NA
Pickens-Georgia	563	8	NA
Pierce-Georgia	544	14	NA
Pike-Georgia	291	8	NA
Polk-Georgia	1302	17	NA
Pulaski-Georgia	279	11	NA
Putnam-Georgia	651	21	NA
Quitman-Georgia	31	1	NA
Rabun-Georgia	305	7	NA
Randolph-Georgia	325	27	NA
Richmond-Georgia	6405	143	NA
Rockdale-Georgia	1729	32	NA
Schley-Georgia	101	2	NA
Screven-Georgia	327	9	NA
Seminole-Georgia	315	8	NA
Spalding-Georgia	1238	54	NA
Stephens-Georgia	914	30	NA
Stewart-Georgia	402	12	NA
Sumter-Georgia	893	60	NA
Talbot-Georgia	155	5	NA
Taliaferro-Georgia	19	0	NA
Tattnall-Georgia	724	8	NA
Taylor-Georgia	174	8	NA
Telfair-Georgia	363	15	NA
Terrell-Georgia	324	31	NA
Thomas-Georgia	1423	58	NA
Tift-Georgia	1612	52	NA
Toombs-Georgia	1197	30	NA
Towns-Georgia	244	7	NA
Treutlen-Georgia	232	6	NA
Troup-Georgia	2674	92	NA
Turner-Georgia	287	21	NA
Twiggs-Georgia	173	7	NA
Union-Georgia	542	16	NA
Upson-Georgia	699	59	NA
Walker-Georgia	1215	26	NA
Walton-Georgia	1636	49	NA
Ware-Georgia	1394	49	NA
Warren-Georgia	124	5	NA
Washington-Georgia	634	7	NA
Wayne-Georgia	1030	26	NA
Webster-Georgia	41	2	NA
Wheeler-Georgia	232	9	NA
White-Georgia	629	17	NA
Whitfield-Georgia	4217	55	NA
Wilcox-Georgia	229	20	NA
Wilkes-Georgia	241	3	NA
Wilkinson-Georgia	307	17	NA
Worth-Georgia	517	29	NA
Hawaii-Hawaii	541	3	NA
Honolulu-Hawaii	9304	81	NA
Kauai-Hawaii	58	0	NA
Maui-Hawaii	363	9	NA
Ada-Idaho	11823	138	NA
Adams-Idaho	26	1	NA
Bannock-Idaho	850	4	NA
Bear Lake-Idaho	42	0	NA
Benewah-Idaho	124	2	NA
Bingham-Idaho	701	9	NA
Blaine-Idaho	609	6	NA
Boise-Idaho	63	1	NA
Bonner-Idaho	239	0	NA
Bonneville-Idaho	2100	13	NA
Boundary-Idaho	45	1	NA
Butte-Idaho	28	0	NA
Camas-Idaho	4	0	NA
Canyon-Idaho	7618	88	NA
Caribou-Idaho	61	0	NA
Cassia-Idaho	594	5	NA
Clark-Idaho	23	0	NA
Clearwater-Idaho	27	0	NA
Custer-Idaho	45	0	NA
Elmore-Idaho	306	3	NA
Franklin-Idaho	76	0	NA
Fremont-Idaho	134	3	NA
Gem-Idaho	245	2	NA
