2020-09-10,15:59:01
LOCATION	CASES	DEATHS	RECOVERED
Wheeler-Georgia	232	9	0
White-Georgia	629	17	0
Whitfield-Georgia	4217	55	0
Wilcox-Georgia	229	20	0
Wilkes-Georgia	241	3	0
Wilkinson-Georgia	307	17	0
Worth-Georgia	517	29	0
Hawaii-Hawaii	541	3	0
Honolulu-Hawaii	9304	81	0
Kauai-Hawaii	58	0	0
Maui-Hawaii	363	9	0
Ada-Idaho	11823	138	0
Adams-Idaho	26	1	0
Bannock-Idaho	719	4	0
Bear Lake-Idaho	31	0	0
Benewah-Idaho	124	2	0
Bingham-Idaho	564	9	0
Blaine-Idaho	609	6	0
Boise-Idaho	63	1	0
Bonner-Idaho	238	0	0
Bonneville-Idaho	2055	13	0
Boundary-Idaho	45	1	0
Butte-Idaho	24	0	0
Camas-Idaho	4	0	0
Canyon-Idaho	7618	88	0
Caribou-Idaho	46	0	0
Cassia-Idaho	594	5	0
Clark-Idaho	23	0	0
Clearwater-Idaho	27	0	0
Custer-Idaho	45	0	0
Elmore-Idaho	306	3	0
Franklin-Idaho	61	0	0
Fremont-Idaho	132	3	0
Gem-Idaho	245	2	0
Gooding-Idaho	247	1	0
Idaho-Idaho	51	0	0
Jefferson-Idaho	386	1	0
Jerome-Idaho	676	6	0
Kootenai-Idaho	2322	31	0
Latah-Idaho	267	0	0
Lemhi-Idaho	72	0	0
Lewis-Idaho	11	0	0
Lincoln-Idaho	80	0	0
Madison-Idaho	319	0	0
Minidoka-Idaho	583	6	0
Nez Perce-Idaho	351	20	0
Oneida-Idaho	22	0	0
Owyhee-Idaho	316	5	0
Payette-Idaho	756	4	0
Power-Idaho	150	0	0
Shoshone-Idaho	206	17	0
Teton-Idaho	137	0	0
Twin Falls-Idaho	1840	35	0
Valley-Idaho	86	1	0
Washington-Idaho	315	4	0
Adams-Illinois	849	11	0
Alexander-Illinois	52	1	0
Bond-Illinois	216	4	0
Boone-Illinois	947	23	0
Brown-Illinois	25	0	0
Bureau-Illinois	469	9	0
Calhoun-Illinois	33	0	0
Carroll-Illinois	156	4	0
Cass-Illinois	341	11	0
Champaign-Illinois	3811	20	0
Christian-Illinois	284	8	0
Clark-Illinois	123	2	0
Clay-Illinois	116	0	0
Clinton-Illinois	902	19	0
Coles-Illinois	1180	25	0
Cook-Illinois	132963	5103	0
Crawford-Illinois	204	1	0
Cumberland-Illinois	176	4	0
De Kalb-Illinois	1289	36	0
De Witt-Illinois	62	1	0
Douglas-Illinois	247	5	0
Du Page-Illinois	15704	540	0
Edgar-Illinois	98	3	0
Edwards-Illinois	50	0	0
Effingham-Illinois	703	1	0
Fayette-Illinois	227	3	0
Ford-Illinois	82	4	0
Franklin-Illinois	398	1	0
Fulton-Illinois	107	0	0
Gallatin-Illinois	67	2	0
Greene-Illinois	172	1	0
Grundy-Illinois	555	5	0
Hamilton-Illinois	49	0	0
Hancock-Illinois	167	2	0
Hardin-Illinois	24	0	0
Henderson-Illinois	57	0	0
Henry-Illinois	556	4	0
Iroquois-Illinois	326	19	0
Jackson-Illinois	1103	25	0
Jasper-Illinois	168	7	0
Jefferson-Illinois	502	37	0
Jersey-Illinois	333	11	0
Jo Daviess-Illinois	200	2	0
Johnson-Illinois	126	0	0
Kane-Illinois	11888	319	0
Kankakee-Illinois	2467	72	0
Kendall-Illinois	1772	25	0
Knox-Illinois	506	3	0
Lake-Illinois	15472	476	0
La Salle-Illinois	1429	54	0
Lawrence-Illinois	207	0	0
Lee-Illinois	290	1	0
Livingston-Illinois	253	4	0
Logan-Illinois	353	1	0
McDonough-Illinois	371	15	0
McHenry-Illinois	4176	116	0
McLean-Illinois	2783	18	0
